DeliveryYear,Day,Hour,Fuel,OutputQuality,Output
2020,2020-01-05,2,GAS,-1,238
2020,2020-01-05,2,HYDRO,0,2989
2020,2020-01-05,2,WIND,0,1885
2020,2020-01-05,2,SOLAR,0,0
2020,2020-01-05,2,BIOFUEL,0,0
2020,2020-01-05,3,NUCLEAR,0,11967
2020,2020-01-05,3,GAS,-1,238
2020,2020-01-05,3,HYDRO,0,3000
2020,2020-01-05,3,WIND,0,1555
2020,2020-01-05,3,SOLAR,0,0
2020,2020-01-05,3,BIOFUEL,0,0
2020,2020-01-05,4,NUCLEAR,0,11972
2020,2020-01-05,4,GAS,-1,238
2020,2020-01-05,4,HYDRO,0,3013
2020,2020-01-05,4,WIND,0,1902
2020,2020-01-05,4,SOLAR,0,0
2020,2020-01-05,4,BIOFUEL,0,0
2020,2020-01-05,5,NUCLEAR,0,11969
2020,2020-01-05,5,GAS,-1,238
2020,2020-01-05,5,HYDRO,0,3058
2020,2020-01-05,5,WIND,0,1614
2020,2020-01-05,5,SOLAR,0,0
2020,2020-01-05,5,BIOFUEL,0,0
2020,2020-01-05,6,NUCLEAR,0,11956
2020,2020-01-05,6,GAS,-1,238
2020,2020-01-05,6,HYDRO,0,3112
2020,2020-01-05,6,WIND,0,1796
2020,2020-01-05,6,SOLAR,0,0
2020,2020-01-05,6,BIOFUEL,0,0
